text;label
I had ordered a data cable, got a very well finished and working product.;NOTISSUE
Love This Phone.;NOTISSUE
I get a very well finished product.;NOTISSUE
I could not be happier.;NOTISSUE
I was looking for this headset for a long time and now I have got it;NOTISSUE
my headset starts ringing for no reason.;ISSUE
Display is excellent and camera is as good as any from that year.;NOTISSUE
Battery life is also great!;NOTISSUE
The worst phone I have ever had.... Only had it for a few months.;ISSUE
Not a good item.. It worked for a while then started having problems in my auto reverse tape player.;ISSUE
This is so embarassing and also my ears hurt if I try to push the ear plug into my ear.;ISSUE
Protects the phone on all sides.;NOTISSUE
This is a VERY average phone with bad battery life that operates on a weak network.;ISSUE
Clear Skype Calls, Long Battery Life, Long Range.;NOTISSUE
Soyo technology sucks.;ISSUE
Great Hands Free Device.;NOTISSUE
you can even take self portraits with the outside (exterior) display, very cool.;NOTISSUE
Same problem as others have mentioned.;ISSUE
After trying many many handsfree gadgets this is the one that finally works well.;NOTISSUE
Magical Help.;NOTISSUE
The worst piece of crap ever along with the Verizon customer service.;ISSUE
Poor sound quality.;ISSUE
The best phone in market :).;NOTISSUE
It worked very well.;NOTISSUE
The company shipped my product very promptly and it works well.;NOTISSUE
Exactly what I wanted.;NOTISSUE
The picture resolution is far below what other comparably-priced phones are offering today.;ISSUE
This is a great deal.;NOTISSUE
Excellent product, I am very satisfied with the purchase.;NOTISSUE
I highly recommend these and encourage people to give them a try.;NOTISSUE
Better than you'd expect.;NOTISSUE
Using all earpieces, left or right, this thing will not stay on my ear.;ISSUE
Great product and price.;NOTISSUE
Sounds good reasonably priced and effective, Its that simple !;NOTISSUE
what a disappointment;ISSUE
Very prompt service.;NOTISSUE
Excellent product for the price.;NOTISSUE
Very pleased with this headset.;NOTISSUE
do not waste your money and time.;ISSUE
I especially love the long battery life.;NOTISSUE
It is so stupid to have to keep buying new chargers, car chargers, cradles, headphones and car kits every time a new phone comes out.;ISSUE
Works great.;NOTISSUE
Plantronics Bluetooth Excelent Buy.;NOTISSUE
I came over from Verizon because cingulair has nicer cell phones.... the first thing I noticed was the really bad service.;ISSUE
I will be looking for a new earpiece.;NOTISSUE
I will be looking for a new earpiece.Jawbone Era is awesome too!;NOTISSUE
We received a WHITE colored battery that goes DEAD after a couple hoursTHe original used to last a week - but still lasts longer than thereplacement;ISSUE
After a year the battery went completely dead on my headset.;ISSUE
I have used several phone in two years, but this one is the best.;NOTISSUE
An Awesome New Look For Fall 2000!.;NOTISSUE
This is the first phone I have had that has been so cheaply made.;NOTISSUE
Att is not clear, sound is very distorted and you have to yell when you talk.;ISSUE
Price is good too.;NOTISSUE
The plastic breaks really easy on this clip.;ISSUE
Do not make the same mistake I did.;NOTISSUE
Oh and I forgot to also mention the weird color effect it has on your phone.;ISSUE
I'm using it with an iriver SPINN (with case) and it fits fine.;NOTISSUE
Also the area where my unit broke).- I'm not too fond of the magnetic strap.;ISSUE
Overall, I am psyched to have a phone which has all my appointments and contacts in and gets great reception.;NOTISSUE
every thing on phone work perfectly, she like it.;NOTISSUE
Another note about this phone's appearance is that it really looks rather bland, especially in the all black model.;ISSUE
It is REALLY EASY.;NOTISSUE
My Sanyo has survived dozens of drops on blacktop without ill effect.;NOTISSUE
Fantastic earphones.;NOTISSUE
It finds my cell phone right away when I enter the car.;NOTISSUE
Low Quality;ISSUE
But it does get better reception and clarity than any phone I have had before.;NOTISSUE
Warning - Stay away.;ISSUE
I wish I could return the unit and get back my money.;ISSUE
Awsome Device Works Great!!.;NOTISSUE
I used to talk on it for 1 - 1 1/2 hours and the battery would be literally drained and dying.;ISSUE
If you do not find it, too bad, as again the unit comes with one earpad only.I would not recommend this to anyone.;ISSUE
Very Displeased.;ISSUE
I might have gotten a defect, but I would not risk buying it again because of the built quality alone.;NOTISSUE
They made this case too small and is very difficult to install.;ISSUE
Restored my phone to like new performance.;NOTISSUE
I would recommend purchasing the Jabra JX-10 series 2 which works flawlessly with my Moto Q, go figure.;NOTISSUE
I searched the Internet, and found this one to be the best value.;NOTISSUE
Does not fit.;ISSUE
Very happy with this product.;NOTISSUE
The screen size is big, key pad lit well enough, and the camera quality is excellent for a camera phone.;NOTISSUE
There's really nothing bad I can say about this headset.;NOTISSUE
i'm glad i found this product on amazon it is hard to find, it was not high priced.;NOTISSUE
Portable and it works.;NOTISSUE
My colleague & I now get great reception.A little expensive, but performance is great.;NOTISSUE
I even fully charged it before I went to bed and turned off blue tooth and wi-fi and noticed that it only had 20 % left in the morning.;ISSUE
I have also had problems with the phone reading the memory card in which I always turn it on and then off again.;ISSUE
Not good when wearing a hat or sunglasses.;ISSUE
Timely shipment and quality product.;NOTISSUE
Nice solid keyboard.;NOTISSUE
Very well made and fits my Surefire GX2 perfectly.;NOTISSUE
Horrible phone.;ISSUE
BT50 battery junk!.;ISSUE
We would recommend these to others.;NOTISSUE
Cant get the software to work with my computer.;ISSUE
Disappointed!.;ISSUE
poor voice clarity.;ISSUE
The battery works great!;NOTISSUE
No buyers remorse on this one!.;NOTISSUE
Very disappointed in AccessoryOne.;ISSUE
I find this inexcusable and so will probably be returning this phone and perhaps changing carriers.;ISSUE
"Looks great and is strong.""";NOTISSUE
I have had TMobile service for 2 or 3 years now, and I am pretty happy with it.;NOTISSUE
The update procedure is difficult and cumbersome.;NOTISSUE
Disappointment.. I hate anything that goes in my ear.;ISSUE
Great software for Motorolas.;NOTISSUE
The delivery was on time.;NOTISSUE
Very easy to use.;NOTISSUE
Uncomfortable In the Ear, Do notuse with LG VX9900 (EnV).;ISSUE
The volume switch rocketed out of the unit to a destination unknown.;ISSUE
It holds a charge for a long time, is reasonably comfortable under long-wearing conditions and the quality of sound is tremendous.;NOTISSUE
I'd like to return it.;ISSUE
The keyboard is really worthwhile in usefulness and is sturdy enough I do notexpect any problems.;NOTISSUE
Verizon's bills, however, are difficult to understand even though their pricing plans are simple.;ISSUE
After charging overnight, these batteries work great.;NOTISSUE
You wo notregret it!;NOTISSUE
I love this phone!.;NOTISSUE
A Disappointment.;ISSUE
Its not user friendly.;ISSUE
Unfortunately the ability to actually know you are receiving a call is a rather important feature and this phone is pitiful in that respect.;ISSUE
Then I exchanged for the same phone, even that had the same problem.;ISSUE
This results in the phone being either stuck at max volume or mute.;ISSUE
This PDA rocks.;NOTISSUE
